utterance,context,predicted_maxim,predicted_violation_type,confidence,gold_maxim,gold_violation_type
Python 3.11 with FastAPI.,What's the tech stack for the new service?,Quantity,flouting,0.513,,
About forty-five minutes if traffic is normal.,How long is the drive?,Quantity,flouting,0.409,,
She said she'd have it ready by Thursday.,When is the design review?,Quantity,flouting,0.377,,
"Two years, mostly on the backend.",How long have you been on this team?,Quantity,flouting,0.510,,
"No, we decided to go with the vendor option instead.",Are we building it in-house?,Relation,flouting,0.459,,
It's in the shared drive under Q3 Reports.,Where can I find last quarter's numbers?,Quantity,flouting,0.497,,
Did you see the game last night?,We need to talk about your attendance.,Quantity,flouting,0.676,,
I wonder what's for lunch.,Have you thought about what I said?,Quantity,flouting,0.441,,
"Anyway, how's your mom doing?",Are you going to sign the divorce papers?,Quantity,flouting,0.459,,
"Look, a squirrel!",Can you explain why the tests are failing?,Relation,flouting,0.651,,
You know what I love about this office? The lighting.,Did you take the money from petty cash?,Quantity,flouting,0.363,,
"Speaking of which, have you been to that new Thai place?",So about the missing inventory...,Quantity,flouting,0.450,,
Isn't it someone's birthday this week?,When are you going to finish the migration?,Quantity,flouting,0.434,,
I really need to clean my desk.,What did you say to the client?,Quantity,flouting,0.413,,
It's not terrible.,What do you think of my thesis?,Cooperative,none,0.786,,
I've read a book or two on the subject.,Are you qualified for this?,Quantity,flouting,0.595,,
We've had some feedback.,How did the users react to the redesign?,Quantity,flouting,0.414,,
There have been... developments.,What happened while I was on vacation?,Quantity,flouting,0.377,,
I have thoughts.,What do you think about the CEO's new strategy?,Quantity,flouting,0.513,,
Not everyone was thrilled.,How did the team take the news?,Quantity,flouting,0.555,,
I've seen worse.,How's the code quality on this legacy project?,Quantity,flouting,0.496,,
Parts of it were interesting.,Did you like the movie?,Quantity,flouting,0.389,,
"Oh absolutely, I live for spreadsheets.",Can you update the tracking sheet?,Cooperative,none,0.532,,
Clearly I'm the problem here.,The server crashed after your deploy.,Quality,flouting,0.492,,
Because that worked so well last time.,Let's try the same approach again.,Cooperative,none,0.700,,
I'm drowning in free time.,Can you take on one more project?,Quantity,flouting,0.528,,
"Oh no, my heart bleeds for you.",I only got a 15% raise this year.,Quality,flouting,0.426,,
What a tragedy.,The vending machine is out of chips.,Quantity,flouting,0.517,,
I'm sure it'll be a page-turner.,We have a new compliance document to review.,Cooperative,none,0.746,,
"Right, because that's totally how databases work.",Can't we just delete the duplicates?,Quantity,flouting,0.467,,
The Great Wall of China is visible from space.,Can you see it from up there?,Quantity,flouting,0.393,,
Humans only use 10% of their brains.,Why can't I remember anything?,Quantity,flouting,0.392,,
Lightning never strikes the same place twice.,Should we worry about that tree?,Quantity,flouting,0.386,,
It takes seven years to digest gum.,I accidentally swallowed my gum.,Quantity,flouting,0.398,,
We lose most of our body heat through our heads.,Should I bring a hat?,Quantity,flouting,0.584,,
Goldfish have a three-second memory.,Do you think the fish recognizes me?,Quantity,flouting,0.540,,
Cracking your knuckles causes arthritis.,Can you stop doing that?,Quality,flouting,0.332,,
You should wait 30 minutes after eating to swim.,Can we go to the pool now?,Quantity,flouting,0.497,,
"In a manner of speaking, through a lens of contextual reframing, one might suggest it was suboptimal.",How was the meeting?,Quantity,flouting,0.498,,
Step 1: don't. Step 2: see step 1.,How should I respond to this angry email?,Quantity,flouting,0.486,,
"It's like that thing, but the other way, and also sideways.",Can you describe the architecture?,Quantity,flouting,0.588,,
"The answer is yes, no, and it depends, in that order.",Should we launch on Monday?,Quantity,flouting,0.726,,
Let me put it this way: imagine a duck.,Can you explain the billing system?,Quantity,flouting,0.432,,
"It's not not a problem, but it's not a not-problem either.",Is this a bug?,Cooperative,none,0.475,,
Think of it as aggressively adequate.,How would you rate the contractor's work?,Cooperative,none,0.716,,
Chronologically? Alphabetically? By emotional intensity?,What happened today?,Quantity,flouting,0.791,,
So the thing with the API is that it does the thing when you call it but sometimes it doesn't do the thing and then you have to do the other thing.,What's wrong with the API?,Quantity,flouting,0.430,,
I put it over there by the thing next to where we had the meeting about the stuff.,Where did you put the contract?,Quantity,flouting,0.400,,
Yeah so basically you just kind of do it and then it works or it doesn't.,How do I configure the load balancer?,Quantity,flouting,0.638,,
The issue is related to the implementation of the functionality pertaining to the user-facing interface.,What's the bug?,Cooperative,none,0.321,,
"First you do the last part, then skip to the middle, then do the beginning.",How do I file an expense report?,Quantity,flouting,0.582,,
"It's like email but not email, more like a message but not a text.",What platform should I use to contact them?,Quantity,flouting,0.465,,
The system does what it does when it does it.,Can you document how the cron job works?,Quantity,flouting,0.507,,
We need to leverage the synergies of the cross-functional paradigm shift.,What's the plan for next quarter?,Quantity,flouting,0.520,,
"Three bugs, all in the auth module.",What did you find in the code review?,Quantity,flouting,0.581,,
"Sure, I'll send it over after lunch.",Can you share the slide deck?,Quantity,flouting,0.431,,
It's a React app with a Node backend.,What are we building?,Quantity,flouting,0.442,,
Tuesday at 2pm works for me.,When can we meet to discuss the roadmap?,Quantity,flouting,0.443,,
I'd recommend the salmon.,What's good here?,Cooperative,none,0.401,,
"About 200 lines, mostly tests.",How big is the PR?,Quantity,flouting,0.608,,
She's on PTO until next Wednesday.,Is Sarah available for a meeting?,Quantity,flouting,0.408,,
"Version 3.2, released last month.",What version of the SDK are you using?,Quantity,flouting,0.451,,
"It's a known issue, fix is in the next release.",Why does the export keep failing?,Quantity,flouting,0.479,,
"Yep, merged it this morning.",Did the hotfix go out?,Quantity,flouting,0.436,,
"Chicken parm, if they still have it.",What do you want for lunch?,Quantity,flouting,0.550,,
I think we should wait for the test results first.,Should we ship this today?,Quantity,flouting,0.431,,
The deadline is March 15th.,When is the proposal due?,Quantity,flouting,0.493,,
"It's the third door on the right, past the kitchen.",Where's the conference room?,Quantity,flouting,0.420,,
About 12 milliseconds per request.,What's the average latency?,Cooperative,none,0.428,,
"No, that was deprecated in version 4.",Does the old endpoint still work?,Relation,flouting,0.465,,
